a,b,c,d,e,PM2.5
-0.44662,-0.85867,0.22859,-0.06409,-0.03421,0.247787611
-0.56797,-1.05531,0.21055,-0.46156,-0.29299,0.17699115
-0.45542,-0.88531,0.27733,0.12346,0.01988,0.159292035
0.17265,-0.72861,1.2002,-1.43219,-0.01423,0.150442478
1.74633,-1.43594,2.01132,0.88575,-1.7433,0.132743363
2.19944,0.86122,2.87184,-0.59862,-0.36202,0.115044248
2.37093,0.88512,2.41302,-0.89099,-0.42521,0.115044248
1.19699,1.10932,1.22357,-1.047,0.02119,0.194690265
0.2777,1.64443,-0.05956,-0.83098,0.4049,0.212389381
-0.58107,2.18283,-0.77847,-0.89674,0.29791,0.230088496
-0.36636,2.42897,-1.11942,-0.62283,0.31895,0.194690265
0.25588,2.18906,-0.79832,-0.88975,0.37223,0.256637168
0.2142,2.2693,-0.97436,-0.81852,0.39981,0.159292035
1.08754,1.35073,-0.3957,-0.19452,-1.10415,0.194690265
0.61578,0.39219,-1.39315,-1.23286,-0.88122,0.212389381
1.14686,0.99339,-0.36891,-1.96145,0.31737,0.247787611
1.12313,-0.42304,-0.62542,-0.60185,-0.93202,0.17699115
0.66366,-0.43005,-0.32591,-0.10904,-0.70891,0.097345133
0.56881,-0.39691,-0.15574,-0.11432,-0.51953,0.132743363
1.34951,-0.87651,-0.26421,-0.59659,-0.05779,0.17699115
1.07555,-0.77767,-0.45648,-0.21822,-0.39905,0.238938053
0.2244,-0.55424,-0.43333,-0.41707,-0.49281,0.247787611
-0.14789,-0.53675,-0.41216,-0.58503,-0.40551,0.256637168
-0.37805,-0.51849,-0.36244,-0.3286,-0.2153,0.265486726
-0.35704,-0.82422,-0.05097,-0.35877,-0.29819,0.274336283
0.6808,-1.52568,-0.4306,0.17598,-0.15914,0.283185841
0.61671,-1.06149,0.05948,0.09377,-0.00461,0.318584071
1.3333,-1.44864,0.18911,0.51618,-0.60633,0.389380531
2.60079,-0.35079,1.52086,-0.89879,0.47046,0.486725664
1.73851,0.20666,0.51714,-1.11753,0.5938,0.486725664
1.09616,0.66577,-0.20444,-1.06955,0.05811,0.530973451
1.001,1.17266,-1.06746,-1.33881,-0.00526,0.610619469
0.83229,1.79029,-1.3893,-1.03288,0.26466,0.628318584
0.47631,1.85845,-1.25363,-1.46008,0.35688,0.601769912
0.03738,1.97249,-1.03109,-1.01985,0.4411,0.495575221
0.07073,1.76882,-0.8812,-1.31426,0.43202,0.415929204
0.41041,1.77736,-0.98909,-1.32906,0.29882,0.353982301
1.52728,1.9801,0.0264,-1.26185,-0.5686,0.353982301
1.02016,1.47282,-0.5145,-1.70115,-0.14373,0.353982301
1.64434,0.31479,-0.64728,-0.9511,-0.76674,0.371681416
1.50961,-0.07052,-0.19998,0.56315,-0.99671,0.292035398
1.37978,-0.45459,-0.30022,-0.30455,-1.05787,0.309734513
1.17059,-0.30749,0.10822,0.73704,-0.76858,0.309734513
0.90409,-0.2215,0.2468,0.7682,-0.68389,0.353982301
0.29437,-0.06414,-0.30313,0.49932,-0.4581,0.300884956
-0.12304,-0.20572,-0.73221,-0.45603,-0.54929,0.265486726
-0.46464,-0.07758,-0.83675,-0.49421,-0.48424,0.283185841
-0.49461,-0.09884,-0.70984,0.04329,-0.16129,0.274336283
-0.6424,-0.38552,-0.57186,-0.13509,-0.13219,0.265486726
-0.08441,-0.52742,-0.38417,-1.18623,0.14562,0.221238938
-0.43226,-0.1234,-0.38331,0.1776,-0.12786,0.221238938
-0.16965,-0.59933,-0.7756,-0.62538,-0.80411,0.247787611
0.93648,-0.74582,-0.52105,-0.01564,-1.34467,0.300884956
0.65501,1.08588,-0.5797,0.12586,-0.20431,0.362831858
1.03365,1.32222,-1.30482,0.20332,-0.17572,0.389380531
0.39041,1.41443,-1.37495,-0.54895,-0.18466,0.336283186
0.66662,2.20281,-1.22487,-0.51977,0.01229,0.336283186
0.73239,2.36244,-1.14737,-0.76524,-0.44362,0.292035398
0.11696,2.40106,-0.60362,-0.71019,-0.36259,0.283185841
-0.08252,2.11826,-0.72848,-0.92695,-0.37375,0.230088496
0.07213,1.93063,-0.86962,-0.41576,-0.53741,0.300884956
0.25342,1.93237,-0.79694,-0.43499,0.22356,0.327433628
0.33727,1.76657,-0.35784,-0.37156,-0.39785,0.371681416
0.79427,1.09524,-0.57643,-0.36051,-0.35142,0.336283186
0.97761,0.76387,-0.1337,-0.30425,-0.54464,0.283185841
0.35351,0.04027,-0.18326,-0.62758,-0.54583,0.292035398
0.40296,0.27004,0.1698,-0.28776,-0.32428,0.265486726
-0.29591,0.64333,-0.16238,-0.05135,-0.19442,0.212389381
-0.37862,0.50811,-0.23296,-0.52333,-0.11599,0.230088496
-0.42272,0.71293,-0.14661,-0.09919,0.08432,0.238938053
-0.1574,0.89096,-0.06254,0.30183,0.12116,0.353982301
0.13016,0.48944,-0.15646,-0.08984,0.07182,0.353982301
-0.18502,0.3155,-0.14377,-0.42422,-0.04372,0.336283186
-0.38122,0.47791,-0.23563,0.10007,0.07172,0.327433628
-0.44019,0.40668,-0.04451,-0.27338,0.00712,0.265486726
-0.29526,0.68859,0.50765,0.24992,-0.28409,0.309734513
-0.27464,0.99174,0.37408,0.15743,-0.3886,0.300884956
-0.09774,1.87308,0.29408,1.34257,-0.44019,0.327433628
-0.04635,1.87011,0.0312,0.8253,-0.59097,0.309734513
-0.17829,1.69764,-0.45476,-0.31776,-0.63531,0.238938053
-0.2812,1.76707,-0.57102,-0.9087,-0.24966,0.212389381
-0.3032,1.62934,-0.35033,-1.01759,-0.24104,0.194690265
-0.32724,1.93001,-0.13861,-0.81247,-0.03589,0.274336283
-0.18249,1.80621,-0.1223,-1.11986,-0.19835,0.230088496
0.07997,1.85576,0.18579,-1.43819,-0.28659,0.283185841
0.12463,1.90284,0.32733,-1.2335,-0.19106,0.247787611
0.17433,1.23288,0.45969,-1.3609,-0.50285,0.283185841
-0.27585,0.15159,0.35493,-1.50923,-0.4664,0.17699115
-0.53107,-0.658,0.11055,-0.82526,-1.20448,0.150442478
-0.81481,-0.46557,0.27914,-0.63546,-0.99893,0.115044248
-0.48897,-0.75526,0.22803,-0.59851,-1.12256,0.203539823
-0.44232,-0.74376,0.22683,-0.55245,-1.12174,0.221238938
-0.60149,-0.73615,0.00504,-0.60369,-1.19934,0.353982301
-0.53491,-0.86277,-0.16726,-0.32643,-0.92776,0.336283186
-0.22467,0.05345,0.40579,-2.19635,0.81344,0.380530973
-0.27808,-0.10034,0.13205,-1.71159,0.78467,0.238938053
-0.41615,0.44476,0.27227,-1.41246,1.08532,0.203539823
-0.43776,0.1458,0.10727,-2.53415,1.21966,0.10619469
-0.97413,-0.50669,-0.0693,-0.22676,-0.62764,0.132743363
-0.82714,-0.6023,-0.04687,-0.1353,-0.78587,0.10619469
-0.74909,-0.73191,0.14532,-0.13299,-0.91424,0.17699115
-0.41581,-0.02718,0.43778,-0.84536,-0.09715,0.194690265
-0.21796,0.90655,0.34679,-0.94197,0.83275,0.221238938
-0.37394,1.07679,-0.14386,-1.64983,0.50296,0.132743363
-0.50035,1.5863,-0.43245,-1.22171,0.51834,0.088495575
-0.71721,2.00472,-0.39113,-0.43669,0.63885,0.026548673
-0.62032,1.13966,-0.80685,-0.6527,-0.20717,0.061946903
-0.63693,0.84756,-0.89362,-0.96825,-0.3756,0.088495575
-0.3069,0.75386,-1.08092,-1.49525,-0.20315,0.185840708
-0.20893,1.10922,-0.58291,-1.62295,0.54632,0.230088496
-0.14136,0.46659,-0.79278,-1.27648,-0.27437,0.265486726
-0.22077,-0.58455,-1.14606,-0.47718,-0.94969,0.230088496
0.34421,0.47529,-0.33214,-2.09059,0.78125,0.203539823
-0.13127,-0.17878,-0.78652,-1.42642,-0.00659,0.150442478
-0.07063,0.71442,-0.51279,-1.3331,0.996,0.097345133
-0.21611,0.52789,-0.54498,-1.70142,1.17948,0.14159292
-0.12211,0.31573,-0.46682,-2.40409,1.26877,0.203539823
-0.0614,0.17264,-0.32161,-1.88903,1.42036,0.203539823
-0.58108,-1.09924,-0.81834,-0.38624,-0.66822,0.17699115
-0.93103,-0.79104,-0.63936,-0.31355,-0.46815,0.14159292
-0.75136,-0.90271,-0.41318,-0.57534,-0.54306,0.221238938
-0.68592,-1.11297,-0.55641,-0.53404,-0.8703,0.265486726
-0.42514,-1.04545,-0.36769,-0.54402,-0.86994,0.309734513
0.0201,-1.02724,-0.18183,-0.41048,-0.85598,0.300884956
1.25967,-0.65325,0.92423,-0.66865,-0.77198,0.309734513
1.63018,0.49174,1.28963,-0.82611,-0.00164,0.318584071
2.16608,0.97747,1.44059,-0.99798,-0.38336,0.371681416
1.49475,1.25226,0.51005,-0.62639,0.01032,0.380530973
0.87258,1.2343,-0.46994,-0.78468,0.16736,0.451327434
0.99479,1.79071,-1.5609,-0.50556,-0.38862,0.495575221
1.05105,1.80118,-2.11196,-0.38224,-0.51618,0.504424779
1.25059,1.93576,-1.73979,-0.92039,0.11321,0.495575221
-0.18202,1.21497,-0.9151,-1.42214,1.20349,0
0.62804,1.38453,-1.61086,-1.12844,0.85394,0.433628319
0.88096,1.15608,-1.05685,-1.13926,0.74461,0.407079646
1.10058,0.61955,-0.94811,-1.55678,0.8465,0.318584071
1.22322,-0.41887,-0.85919,0.06682,-0.20084,0.345132743
1.06167,-0.67541,-0.65152,-0.41552,-0.34318,0.433628319
0.92151,-0.0108,-0.53344,-0.26529,0.37873,0.398230088
0.51012,0.40538,-0.66616,-0.21851,0.4085,0.292035398
0.82491,0.34474,-0.48085,0.42782,0.36738,0.159292035
0.42704,-0.55251,0.31248,-0.89957,2.63172,0.230088496
0.16643,-0.75132,-0.41152,-0.06275,1.68127,0.300884956
-0.05379,-0.53139,-0.30469,-0.47198,0.89246,0.194690265
0.59406,-1.06701,-0.69645,-0.46724,1.21443,0.203539823
0.06345,-1.08559,-0.22056,0.20051,0.68425,0.132743363
0.0059,-0.96076,-0.16376,-0.85306,1.01559,0.185840708
1.03627,-0.66134,0.34008,-0.87439,1.23172,0.150442478
1.11847,-1.32485,0.03185,-0.22924,-0.01052,0.194690265
1.48683,-0.42071,0.43241,-1.18805,1.12708,0.17699115
1.46178,0.0052,0.94284,-0.73266,1.1092,0.265486726
1.19451,0.39888,0.92586,-0.99515,1.05246,0.265486726
1.41846,0.52159,0.96282,-1.09755,0.78888,0.327433628
1.0817,0.19501,0.56004,-1.4394,1.09719,0.292035398
0.89895,0.22479,0.43649,-1.21258,1.17688,0.371681416
1.20221,0.06412,0.81312,-1.64358,1.29146,0.327433628
1.05681,0.19852,0.37242,-0.94204,1.38462,0.300884956
1.41931,-0.21435,0.39385,-1.55693,0.90955,0.256637168
2.05292,-0.25992,0.87452,-0.64347,1.02905,0.203539823
1.2476,-0.89267,0.57581,-0.43432,0.29028,0.168141593
0.15011,-0.57088,0.20089,-0.70733,0.96184,0.097345133
-0.01451,-0.76196,-0.02507,-0.95586,0.86163,0.123893805
-0.52574,-0.58027,-0.44285,0.48413,0.14466,0.079646018
-0.77392,-0.55496,-0.29417,-0.09849,-0.04465,0.097345133
-0.0761,-0.96738,-0.08042,-0.96111,0.57517,0.044247788
-0.48692,-1.37868,-0.10003,-0.22847,0.21145,0.053097345
-0.51028,-1.16554,0.44797,-0.1939,-0.44281,0.088495575
-0.51028,-1.16554,0.44797,-0.1939,-0.44281,0.088495575
-0.51028,-1.16554,0.44797,-0.1939,-0.44281,0.088495575
-0.51028,-1.16554,0.44797,-0.1939,-0.44281,0.088495575
-0.51028,-1.16554,0.44797,-0.1939,-0.44281,0.088495575
-0.39109,-1.24924,0.22544,0.01921,-0.53913,0.044247788
0.1835,-1.0121,0.6453,0.26703,-0.88998,0.008849558
0.03575,0.44427,0.54194,-1.48604,1.05098,0.008849558
-0.32641,0.70091,0.01191,-1.61096,1.00631,0.10619469
0.23319,1.18129,0.1689,-1.41389,0.62851,0.10619469
0.65642,1.66258,-0.18264,-0.16158,0.87766,0.17699115
0.95915,1.96094,-0.19337,-0.19884,0.6941,0.203539823
0.91125,1.77652,-0.75268,-1.00795,0.56219,0.256637168
0.75254,2.26769,-0.59856,-0.45831,0.32499,0.283185841
0.55355,1.93228,-0.35864,-0.38281,0.57445,0.309734513
0.83228,1.58288,0.17927,-0.49791,0.53542,0.327433628
0.10191,-0.13181,-0.9514,0.21869,-1.11598,0.230088496
-0.12564,-0.38919,-0.80424,-0.3618,-1.10022,0.115044248
0.59584,-0.56675,-0.16466,-0.43849,-0.46399,0.044247788
0.28158,-0.54576,0.0435,-0.26494,-0.46235,0.061946903
0.28635,-0.71799,0.32057,-0.30345,-0.44533,0.10619469
0.40682,-0.80067,0.46998,-0.00483,-0.55141,0.168141593
0.14391,-0.85867,0.24346,-0.04181,-0.46013,0.194690265
-0.01484,-0.68191,0.08171,0.07471,-0.35408,0.097345133
-0.50121,-0.67038,-0.05104,-0.46197,-0.16009,0.088495575
-0.78271,-0.69461,0.30227,-0.35861,-0.14525,0.079646018
-0.71623,-0.77264,0.09719,-0.51784,0.0814,0.132743363
-0.36214,-0.77671,0.26706,0.20347,0.045,0.123893805
0.47542,-1.41499,0.51881,0.21554,0.00454,0.123893805
0.87274,-1.19157,0.38865,0.65648,-0.02229,0.07079646
1.37249,-1.65069,0.95855,0.57867,-1.05412,0.026548673
0.89206,0.43485,0.81096,-1.1984,0.62171,0.026548673
2.01464,0.68334,1.54785,-1.21958,-0.15653,0.07079646
1.72328,0.39885,0.79309,-1.26098,-0.39394,0.123893805
1.31734,1.07934,-0.90442,-0.40092,-0.10086,0.238938053
0.95048,1.8914,-1.14754,0.47944,2.27475,0.415929204
0.56036,1.34447,-1.12588,-1.38973,1.25983,0.539823009
0.36187,1.66458,-1.56057,-1.33736,0.99066,0.513274336
1.11876,2.00401,-0.45987,-1.83849,-0.26988,0.460176991
1.48637,1.94641,-0.19198,-1.67862,-0.71748,0.380530973
2.27538,1.03902,-0.0227,-1.13825,-1.62973,0.327433628
1.42836,-0.09897,0.20594,0.12061,-1.263,0.292035398
0.95406,-0.46822,-0.04056,-0.61365,-1.03311,0.212389381
1.3948,-0.37597,0.12846,-0.65555,0.25519,0.256637168
1.65915,-0.15017,-0.13012,-1.43497,0.68226,0.185840708
1.52671,-0.55246,-0.71443,-1.12894,0.48093,0.221238938
1.3831,-1.08763,-0.28953,-0.2808,0.12191,0.17699115
0.72885,0.2624,0.03231,1.25976,0.53791,0.194690265
-0.56581,-0.37952,-0.36352,-0.46235,-0.13943,0.185840708
-0.75654,-0.74487,0.12379,-1.00681,-0.07314,0.115044248
-0.86712,-0.76664,0.45473,-0.42635,0.02041,0.03539823
0.00663,-0.94846,0.38213,-0.61149,0.56113,0.07079646
0.25328,-0.91587,0.47137,-0.35934,0.81523,0.07079646
0.79604,-0.84348,0.85537,-0.41342,0.54962,0.097345133
0.9132,-0.59032,0.88857,-1.18095,1.17923,0.115044248
0.71979,-0.15879,0.50568,-0.09692,0.766,0.115044248
0.68299,0.06259,0.15305,-0.0697,0.09125,0.097345133
0.46678,0.85926,-0.14581,-0.23573,-0.07237,0.079646018
0.36706,1.45424,-0.25435,-1.11712,0.34584,0.185840708
-0.08451,1.22705,-0.60585,-1.03971,0.27165,0.345132743
0.1327,1.25036,-0.84325,-1.77383,0.14696,0.327433628
0.62434,1.75864,0.28234,-1.05457,-0.09328,0.300884956
0.33023,1.44514,0.03497,-1.45762,0.06773,0.221238938
1.1836,1.49211,0.59441,-1.26763,-0.38535,0.17699115
1.32747,1.07186,0.74447,-1.62944,-0.36436,0.230088496
1.42905,0.35393,0.69424,-1.21016,-1.47118,0.238938053
1.14342,-0.19459,0.6672,-0.47905,-1.42442,0.345132743
1.19015,0.18337,0.60411,-0.36324,-0.66798,0.265486726
1.00101,-0.22668,0.18019,-0.75276,-0.77469,0.274336283
0.74876,-0.64834,-0.11334,-0.32016,-0.48753,0.150442478
0.73703,-0.59485,0.10052,-0.80871,-0.15733,0.132743363
0.27172,-0.16223,0.28162,-0.79615,0.04263,0.10619469
0.42157,-0.0298,0.47931,-1.05829,1.95582,0.132743363
-0.83239,-0.41303,0.67937,1.61304,5.8848,0.097345133
-1.38224,0.22341,1.00763,3.22423,7.35438,0.044247788
-1.54288,0.61319,1.01081,3.95138,6.36645,0.044247788
-1.26001,-0.06315,0.27673,1.2902,1.37821,0.10619469
-0.65778,-0.4125,0.18634,-0.77647,0.85328,0.10619469
-0.27193,0.10799,0.70343,-1.81703,1.62715,0.053097345
-0.60163,-0.88637,-0.04356,-0.06831,-0.10814,0
-1.0128,-0.33027,-0.13334,0.83933,-0.18539,0
-0.73251,-0.19829,-0.38917,0.38201,-0.03177,0
-0.98899,0.07388,-0.53943,0.73909,-0.22088,0
-1.17828,0.27514,-0.64461,1.12674,-0.26942,0
-1.00809,-0.27904,-0.54046,0.02649,-0.20737,0
-0.72726,-0.44219,-0.20119,0.33583,0.0684,0.017699115
-1.0388,-0.36559,-0.29258,0.28723,-0.20577,0.03539823
-1.03415,-0.32448,-0.31802,0.4317,-0.15427,0.03539823
-0.69492,-0.55787,-0.26954,0.41893,-0.21877,0.053097345
-1.07168,-0.39772,-0.27763,0.64099,-0.12514,0.044247788
-0.99287,-0.5334,-0.25761,0.23141,-0.0465,0.07079646
-0.98079,-0.59138,-0.25917,0.22215,-0.13581,0.026548673
-0.93249,-0.54072,-0.42979,0.30147,-0.22265,0.026548673
-1.06866,-0.35822,-0.50223,0.5628,-0.13466,0.026548673
-0.7962,-0.75676,-0.466,-0.22636,0.70391,0.026548673
-0.89858,-0.87356,-0.39179,-0.05776,0.24397,0.026548673
-1.17743,-0.8482,-0.30171,-0.11277,0.17222,0
-0.95878,-0.96028,-0.46321,-0.36686,0.17785,0
-0.61942,-0.00417,-0.03515,-2.03047,1.77942,0
-0.46366,-0.15678,0.04695,-1.86476,1.55093,0.044247788
-0.54949,-0.80264,-0.11831,-1.35137,0.71439,0.07079646
-0.81924,-0.98812,-0.25683,0.20837,-0.04119,0.132743363
0.2904,-1.53659,0.09089,0.20354,-0.09338,0.079646018
-0.26754,-1.18762,0.30584,-0.24723,-0.19286,0.053097345
1.76065,-0.39058,1.37471,-0.16269,1.31038,0
0.97016,0.00709,0.8303,-0.66558,1.5638,0.008849558
0.22505,0.14653,0.53025,-1.06402,1.3018,0.07079646
0.29181,-0.24086,0.54351,-1.89954,1.66659,0.150442478
0.66518,-0.20226,0.81182,-1.51347,1.86011,0.14159292
0.31643,-0.85542,0.37271,-0.50517,0.55948,0.088495575
1.29281,-0.12756,1.40016,-0.69914,1.14535,0.03539823
1.57813,-0.57843,0.81761,-1.19806,1.45406,0.132743363
0.39344,-1.06249,0.31122,0.62206,-0.17089,0.123893805
0.33052,-0.97287,0.3907,-0.88122,0.21992,0.097345133
0.64922,-1.49258,0.13428,0.33336,-0.35093,0
-0.51983,-1.00133,0.07478,0.11393,-0.16072,0
-0.20428,-1.11396,0.05198,0.01939,-0.0709,0
-0.3715,-1.2903,-0.03244,-0.10902,-0.29463,0.088495575
0.45286,-1.17682,0.22566,-0.92494,0.62143,0.088495575
0.53091,-1.03416,0.15101,-1.11127,1.23144,0.088495575
-0.34356,-1.09716,0.28543,-1.06951,0.50658,0
-0.20809,-1.57933,-0.21971,-0.20504,0.26001,0
-0.29728,-1.55748,0.0901,-0.32853,0.27214,0
0.15853,-1.34227,0.40375,-0.38449,0.74979,0
-0.13843,-1.66648,0.29979,-0.16232,0.15503,0
-0.27509,-1.44317,0.52141,0.16219,-0.2313,0
1.88723,-1.71055,1.58068,0.60438,-0.67048,0
0.51782,-0.36986,0.93317,-0.38881,0.3416,0
1.58247,-0.01184,0.59964,-0.44708,0.84299,0
1.94865,0.60666,0.57617,0.14094,1.08451,0
2.13624,0.00176,0.72118,-0.72884,1.02301,0
1.95212,-0.13691,1.61817,-1.02508,2.08575,0.026548673
0.55679,-1.26471,0.9209,0.17484,0.51481,0.088495575
-0.55901,-1.16628,1.13873,0.34327,0.55162,0.088495575
1.15506,-0.65886,0.29287,0.34486,1.18315,0.14159292
3.74007,-1.03118,1.66988,1.38791,0.90458,0.14159292
4.98535,-1.13846,3.21551,1.13454,0.26784,0.088495575
3.1935,-1.12409,1.19737,0.50382,0.55317,0.17699115
3.55829,-0.97712,1.10274,0.03465,1.53601,0.159292035
1.58828,-1.25774,0.8995,-0.19222,1.00448,0.221238938
1.95524,-1.00822,0.88396,0.53558,1.21655,0.17699115
2.97429,-1.26279,1.14063,1.15003,1.03593,0.194690265
2.65282,-1.73238,0.92026,1.23285,0.33992,0.132743363
0.74981,-1.77327,0.13084,0.41968,0.06845,0.097345133
0.76153,-1.40481,0.53771,0.43087,0.39939,0.03539823
0.96629,-1.88956,-0.10514,1.20934,0.60792,0.088495575
0.62927,-1.61354,0.2866,0.37019,0.1408,0.14159292
-0.04683,-1.22576,0.20672,0.02101,0.25729,0.212389381
-0.08436,-1.21248,0.18093,0.0055,-0.2942,0.159292035
-0.30352,-1.324,0.37747,0.02377,-0.56097,0.10619469
-0.1691,-1.10132,0.40774,-0.08524,-0.64617,0.088495575
-0.53937,-0.57706,0.16352,-0.805,-0.43439,0.079646018
0.90881,0.03137,0.72703,0.08382,0.1695,0.061946903
1.3051,0.68785,0.62766,-0.64674,0.51952,0.008849558
0.81025,1.12976,0.30213,-1.02537,0.51296,0.10619469
-0.13104,1.56062,-0.56425,-0.73166,0.73003,0.168141593
0.55565,1.22197,0.24856,-1.19729,0.50131,0.230088496
0.4047,1.25719,0.79444,-0.58035,0.67524,0.185840708
0.29172,1.20069,0.61055,-0.58374,0.72208,0.212389381
-0.00625,0.63602,-0.12779,-1.52926,1.10908,0.212389381
-0.29808,-0.62754,-0.6295,-0.44596,-0.57514,0.159292035
-0.08486,-0.98824,-0.85451,-0.31527,-0.46698,0.168141593
-0.63845,-0.5817,-0.53659,-0.0395,-0.52648,0.132743363
0.31213,-1.0688,-0.26718,-0.26821,0.17046,0.150442478
-0.03674,-0.98652,0.07681,-0.06859,0.29398,0.132743363
-0.34618,-0.91254,0.07308,-0.15166,0.27643,0.088495575
-0.57351,-0.83977,0.16826,-0.18608,0.02147,0.061946903
-0.44419,-0.98252,-0.42823,-0.52622,0.18969,0.053097345
-0.34669,-0.9438,-0.23531,-0.93931,0.21194,0.061946903
-0.30055,-0.90547,-0.30891,-0.28407,0.30815,0.053097345
-0.37011,-1.05951,-0.09358,-0.24785,0.53606,0.008849558
1.01449,-1.8733,-0.18621,0.50948,0.3481,0.008849558
2.36431,-2.01998,0.07565,1.04104,0.23789,0.088495575
2.62509,-1.14393,1.18405,-0.50023,1.73578,0.300884956
2.98699,-0.88889,1.75459,-0.02558,1.54801,0.353982301
2.18157,-0.38735,1.67787,0.1737,1.60557,0.398230088
1.7281,-0.4199,1.3763,-0.81468,1.25691,0.309734513
1.49502,-1.60199,1.16864,1.14607,0.22542,0.353982301
2.08591,-0.43431,1.08695,-0.43769,1.14853,0.283185841
1.4104,0.09206,0.58824,-0.42248,1.31523,0.150442478
1.98234,-0.06354,0.70977,-0.84389,1.15693,0.221238938
1.74952,-0.10676,0.76633,-0.49804,0.96233,0.292035398
1.9282,-0.00829,0.34217,-0.41235,1.14147,0.513274336
1.67225,-0.03397,0.28674,-0.78547,1.2177,0.530973451
1.76783,-0.10949,0.55711,-0.84174,1.14592,0.513274336
0.92469,-0.85956,-0.01797,-0.66543,0.34531,0.353982301
0.49956,-1.28488,-0.27533,0.22026,-0.17482,0.247787611
1.12049,-1.19713,0.00774,-0.22854,0.22717,0.238938053
2.16275,-1.49502,0.29148,-0.00944,-0.05049,0.345132743
1.90128,-1.36623,-0.14122,0.87312,0.30563,0.380530973
1.91418,-1.05502,0.00237,0.03967,0.54023,0.398230088
1.89403,-1.13294,-0.19559,0.12315,0.85105,0.353982301
2.12672,-0.60423,0.05827,1.25621,0.82598,0.353982301
0.97475,-0.518,0.34258,0.16967,0.53919,0.309734513
-0.31011,-0.89487,0.29923,-0.34315,-0.0141,0.185840708
-0.85693,-0.76494,0.23115,-0.45568,0.05202,0.088495575
-0.37267,-0.79324,0.57936,0.05949,-0.10115,0.017699115
0.42426,-0.93623,1.07233,-0.00034,-0.47791,0.088495575
0.72886,-0.11989,1.20197,-0.27286,0.07049,0.088495575
0.93585,0.22879,0.78621,0.14789,-0.03347,0.132743363
1.42643,0.24213,0.99995,0.66085,0.0126,0.061946903
1.39817,0.37223,0.73411,0.26201,-0.36437,0.03539823
2.0119,2.43198,-0.16118,5.88769,-4.10128,0.008849558
0.77002,1.82337,-0.15005,1.94051,-0.52999,0.061946903
0.54333,1.73653,0.15066,0.9009,-0.61562,0.159292035
0.5585,1.84516,-0.14392,1.17785,-0.49087,0.309734513
0.5162,1.22693,-0.05201,-0.6178,0.12388,0.318584071
0.59109,0.80363,0.09848,-0.00984,-0.28602,0.283185841
0.91412,0.666,0.36339,0.06392,-0.59922,0.159292035
0.63739,-0.30863,0.28815,-0.40899,-0.68416,0.17699115
0.30144,-0.55219,0.32114,0.02765,-0.60686,0.132743363
0.13095,-0.34927,0.46397,0.55666,-0.29619,0.115044248
0.82397,-0.64774,0.41557,0.87396,-0.12493,0.044247788
0.98203,-0.73982,0.43465,0.75912,-0.24836,0.088495575
-0.39422,-0.30257,0.43209,0.4669,-0.10411,0.10619469
-0.74121,-0.51078,0.22592,-0.65769,-0.20425,0.088495575
-0.85766,-0.62122,0.25412,-0.67187,-0.05181,0.026548673
-0.21188,-0.55961,0.4813,-0.78578,0.39319,0.008849558
-1.00691,0.52392,-0.08688,-0.09406,0.35767,0.008849558
-0.53814,0.82699,-0.19935,0.26541,0.1902,0.026548673
-0.10514,0.33015,-0.02193,-0.37069,-0.26285,0.10619469
0.04274,0.05489,-0.12743,-0.41365,-0.56307,0.123893805
0.18916,0.09747,-0.22358,-0.4448,-0.30905,0.088495575
-0.52999,1.21598,0.14022,-0.04635,-0.38719,0.026548673
-0.39741,1.74946,-0.13869,1.37589,0.21377,0.008849558
-0.91235,2.05185,0.23565,1.61516,-0.02214,0.008849558
-0.76928,2.00145,-0.15592,1.39775,0.22271,0.008849558
-0.43374,1.53529,-0.44866,0.54579,0.05943,0.061946903
-0.63687,1.8631,-0.26909,0.55042,0.1455,0.097345133
-0.58041,1.97012,-0.45217,1.05093,0.28407,0.097345133
-0.96832,2.3678,-0.05336,1.8693,0.07347,0.088495575
-0.99094,1.99041,0.05464,1.36161,0.09204,0.07079646
-0.92882,1.36004,0.16662,0.63695,-0.01632,0.17699115
-0.40753,0.65692,0.42448,-0.34364,-0.1478,0.247787611
-0.3499,0.35011,0.20585,0.06966,0.03034,0.336283186
-0.94246,0.77349,0.47917,0.21773,0.07228,0.238938053
-0.82183,0.95495,0.68508,1.35371,0.56368,0.115044248
-0.92877,0.49704,0.67386,0.66705,0.4587,0.088495575
-1.03169,0.46057,0.83093,0.20148,0.17127,0.159292035
-1.03259,0.2659,0.81308,-0.11165,0.14313,0.159292035
-1.04411,0.47094,0.44961,-0.15888,0.09776,0.079646018
-1.10356,0.67776,0.59876,0.21297,0.24754,0.008849558
-1.42145,1.05653,0.38225,0.92671,0.12084,0.008849558
-1.31167,0.18239,0.22333,-0.73167,-0.33323,0.008849558
-0.80437,-0.02977,0.4274,-1.20376,-0.28205,0.088495575
0.14425,0.1021,1.28129,0.0145,0.24966,0.07079646
0.60738,0.72761,1.49325,1.51784,0.06492,0.088495575
-0.77865,1.7957,0.52329,2.19868,0.35209,0.008849558
0.66855,2.27972,0.40677,4.30217,0.76333,0.008849558
0.24605,2.2319,0.06742,3.5675,0.76799,0.03539823
-0.01564,2.08293,0.24248,2.4336,0.22258,0.03539823
-0.61105,1.98228,0.5959,1.86264,0.24714,0.03539823
0.46029,1.59156,-0.22729,0.82163,0.29175,0.008849558
